Company,Country,Ticker,Climate,,,
Central Puerto SA,Argentina, CEPU,Fossil,,,
Pampa Energia SA,Argentina, PAM,Fossil,,,
Transportadora de Gas del Sur SA,Argentina, TGS,Fossil,,,
YPF SA,Argentina,YPF,Fossil,,,
AAG Energy Holdings Ltd,Cayman Islands, AAGEF,Fossil,,,
Anton Oilfield Services Group,Cayman Islands, ATONF,Fossil,,,
Brooge Energy Ltd,Cayman Islands, BROG,Fossil,,,
CIMC Enric Holdings Ltd,Cayman Islands, CIMEF,Fossil,,,
ENN Energy Holdings Ltd,Cayman Islands, XNGSF,Fossil,,,
Fenikso Ltd,Cayman Islands,FNK,Fossil,,,
GCL Technology Holdings Ltd,Cayman Islands, GCPEF,Fossil,,,
Geely Automobile Holdings Ltd,Cayman Islands, GELYF,Fossil,,,
Hidili Industry International Development Ltd,Cayman Islands, HIIDQ,Fossil,,,
Indonesia Energy Corp Ltd,Cayman Islands,INDO,Fossil,,,
JinkoSolar Holding Co Ltd,Cayman Islands, JKS,Fossil,,,
Jutal Offshore Oil Services Ltd,Cayman Islands, JUTOY,Fossil,,,
Li Auto Inc,Cayman Islands, LI,Fossil,,,
Mongolian Mining Corp,Cayman Islands, MOGLF,Fossil,,,
NIO Inc,Cayman Islands, NIO,Fossil,,,
Perennial Energy Holdings Ltd,Cayman Islands, PEZ,Fossil,,,
Recon Technology Ltd,Cayman Islands, RCON,Fossil,,,
Sany Heavy Equipment International Holdings Co Ltd,Cayman Islands, SNYYF,Fossil,,,
Shelf Drilling Ltd,Cayman Islands, SHLLF,Fossil,,,
Shengli Oil & Gas Pipe Holdings Ltd,Cayman Islands, GSG,Fossil,,,
SPT Energy Group Inc,Cayman Islands, SEGYY,Fossil,,,
Tethys Petroleum Ltd,Cayman Islands, TETHF,Fossil,,,
Tianneng Power International Ltd,Cayman Islands, TIANF,Fossil,,,
Towngas Smart Energy Co Ltd,Cayman Islands, PGJ,Fossil,,,
Vantage Drilling Co,Cayman Islands,VTGDF,Fossil,,,
Vantage Drilling International,Cayman Islands,VTDRF,Fossil,,,
Xinyi Solar Holdings Ltd,Cayman Islands, XISHY,Fossil,,,
Yadea Group Holdings Ltd,Cayman Islands, YADGF,Fossil,,,
Agricultural Bank of China Ltd,China, ACGBF,Fossil,,,
Aluminum Corp of China Ltd,China, ACHHY,Fossil,,,
Bank Of China Ltd,China, BACHF,Fossil,,,
Bank of Communications Co Ltd,China, BCMXY,Fossil,,,
BYD Co Ltd,China, BYDDF,Fossil,,,
China Citic Bank Corp Ltd,China, CHBJF,Fossil,,,
China Coal Energy Co Ltd,China, CCOZF,Fossil,,,
China Construction Bank Corp,China, CICHF,Fossil,,,
China Everbright Bank Co Ltd,China, CEBCF,Fossil,,,
China Longyuan Power Group Corp Ltd,China, CLPXF,Fossil,,,
China Merchants Bank Co Ltd,China, CIHHF,Fossil,,,
China Minsheng Banking Corp Ltd,China, CGMBF,Fossil,,,
China Oilfield Services Ltd,China, CHOLF,Fossil,,,
China Petroleum & Chemical Corp,China, SNPMF,Fossil,,,
China Railway Signal & Communication Corp Ltd,China, CRYCY,Fossil,,,
China Shenhua Energy Co Ltd,China, CSUAY,Fossil,,,
China Suntien Green Energy Corp Ltd,China, CSGEF,Fossil,,,
Datang International Power Generation Co Ltd,China, DAT,Fossil,,,
Dongfang Electric Corp Ltd,China, DNGFF,Fossil,,,
GEM Co Ltd,China, GEM,Fossil,,,
Huadian Power International Corp Ltd,China, HPIFF,Fossil,,,
Huaneng Power International Inc,China, HUNGF,Fossil,,,
Industrial And Commercial Bank Of China Ltd,China, IDCBF,Fossil,,,
Inner Mongolia Yitai Coal Co Ltd,China, IMYCF,Fossil,,,
PetroChina Co Ltd,China, PCCYF,Fossil,,,
Ping An Insurance (Group) Co. of China Ltd,China, PIAIF,Fossil,,,
Postal Savings Bank Of China Co Ltd,China, PSBKF,Fossil,,,
Shandong Molong Petroleum Machinery Co Ltd,China, PXI,Fossil,,,
SINOPEC Engineering (Group) Co Ltd,China, SENGF,Fossil,,,
Sinopec Oilfield Service Corp,China, YZCFF,Fossil,,,
Sinopec Shanghai Petrochemical Co Ltd,China, SHIIY,Fossil,,,
The People's Insurance Co (Group) of China Ltd,China, PINXF,Fossil,,,
Weiqiao Textile Co Ltd,China, WQTEF,Fossil,,,
Xinjiang Goldwind Science & Technology Co Ltd,China, XJNGF,Fossil,,,
Yankuang Energy Group Co Ltd,China, YZCAY,Fossil,,,
Zhuzhou CRRC Times Electric Co Ltd,China, ZHUZF,Fossil,,,
Air Liquide SA,France, AI,Fossil,,,
Alstom SA,France, ALSMY,Fossil,,,
AXA SA,France, AXAHF,Fossil,,,
BNP Paribas,France, BNPQF,Fossil,,,
CGG,France, CGGYY,Fossil,,,
Credit Agricole SA,France, ACA,Fossil,,,
Dassault Systemes SE,France, DASTF,Fossil,,,
Electricite de France SA,France, ECIFF,Fossil,,,
Engie SA,France, ENGIY,Fossil,,,
Esso SAF,France, ES,Fossil,,,
Etablissements Maurel & Prom,France, ETX,Fossil,,,
Gaztransport et technigaz SA,France, GZPZF,Fossil,,,
Kering SA,France, PPRUF,Fossil,,,
Nexans,France, NEX,Fossil,,,
Rexel SA,France, RXEEY,Fossil,,,
Rubis SCA,France, BYN,Fossil,,,
Sanofi SA,France, SAN,Fossil,,,
Schneider Electric SE,France, SBGSF,Fossil,,,
SCOR SE,France, SCRYY,Fossil,,,
Societe Generale SA,France, SCGLF,Fossil,,,
TotalEnergies SE,France, TTE,Fossil,,,
Valeo SA,France, FR,Fossil,,,
Veolia Environnement SA,France, VEOEF,Fossil,,,
GAIL (India) Ltd,India, GAIA,Fossil,,,
Hindalco Industries Ltd,India, HNDNF,Fossil,,,
Oil India Ltd,India, OIL,Fossil,,,
Power Finance Corp Ltd,India, PFC,Fossil,,,
Reliance Industries Ltd,India, RLI,Fossil,,,
Reliance Infrastructure Ltd,India, RELFF,Fossil,,,
State Bank of India,India, SBKFF,Fossil,,,
Tata Steel Ltd,India, TATLY,Fossil,,,
AES Indiana,United States,IPWLG,Fossil,,,
ALLETE Inc,United States, ALE,Fossil,,,
Alliant Energy Corp,United States, LNT,Fossil,,,
Ameren Corp,United States, AEE,Fossil,,,
American Electric Power Co Inc,United States, AEP,Fossil,,,
Atmos Energy Corp,United States, AEO,Fossil,,,
Avangrid Inc,United States, AGR,Fossil,,,
Avista Corp,United States, AVA,Fossil,,,
Berkshire Hathaway Inc,United States, BRYN,Fossil,,,
Black Hills Corp,United States, BKH,Fossil,,,
CenterPoint Energy Inc,United States, CNP,Fossil,,,
Chesapeake Utilities Corp,United States, CPK,Fossil,,,
China Natural Gas Inc,United States,CHNGQ,Fossil,,,
CMS Energy Corp,United States, CMS,Fossil,,,
Consolidated Edison Inc,United States, ED,Fossil,,,
Constellation Energy Corp,United States,CEG,Fossil,,,
Dominion Energy Inc,United States, D,Fossil,,,
DTE Energy Co,United States, DTE,Fossil,,,
Duke Energy Corp,United States, DUK,Fossil,,,
Edison International,United States, EIX,Fossil,,,
Energy HBR Corp,United States,ENGH,Fossil,,,
Entergy Corp,United States, ETR,Fossil,,,
Evergy Inc,United States, EVRG,Fossil,,,
Eversource Energy,United States, ES,Fossil,,,
Excelerate Energy Inc,United States,EE,Fossil,,,
Exelon Corp,United States, EXC,Fossil,,,
FirstEnergy Corp,United States, FE,Fossil,,,
Genie Energy Ltd,United States, GNE,Fossil,,,
Hallador Energy Co,United States, HNRG,Fossil,,,
Hawaiian Electric Industries Inc,United States,HE,Fossil,,,
Idacorp Inc,United States,IDA,Fossil,,,
MDU Resources Group Inc,United States,MDU,Fossil,,,
MGE Energy Inc,United States,MGEE,Fossil,,,
New Fortress Energy Inc,United States,NFE,Fossil,,,
New Jersey Resources Corp,United States, NJR,Fossil,,,
NextEra Energy Inc,United States, NEE,Fossil,,,
NiSource Inc,United States, NI,Fossil,,,
Northwest Natural Holding Co,United States, NWN,Fossil,,,
NorthWestern Corp,United States,NWE,Fossil,,,
NRG Energy Inc,United States, NRG,Fossil,,,
NSTAR Electric Co,United States,NSARO,Fossil,,,
OGE Energy Corp,United States, OGE,Fossil,,,
ONE Gas Inc,United States, OGS,Fossil,,,
OPAL Fuels Inc,United States,OPAL,Fossil,,,
Otter Tail Corp,United States, OTTR,Fossil,,,
PacifiCorp,United States,PPWLM,Fossil,,,
PG&E Corp,United States, PCG,Fossil,,,
Pinnacle West Capital Corp,United States, PNW,Fossil,,,
